process,folder,is_game
CodeSetup-stable-92d25e35d9bf1a6b16f7d0758f25d48ace11e5b9.tmp,CodeSetup-stable-92d25e35d9bf1a6b16f7d0758f25d48ace11e5b9,0
TotallyAccurateBattlegrounds.exe,TotallyAccurateBattlegrounds,0
EasyAntiCheat_launcher.exe,EasyAntiCheat_launcher,0
VirtualBox.exe,VirtualBox,0
FallGuysEACLauncher.exe,FallGuysEACLauncher,0
mosquitto-2.0.14-install-windows-x64.exe,mosquitto-2,0
MQTT Explorer.exe,MQTT Explorer,0
mqttfx-5.2.0-windows-x64.exe,mqttfx-5,0
mqttfx.exe,mqttfx,0
Un_A.exe,Un_A,0
EpicOnlineServicesUIHelper.exe,EpicOnlineServicesUIHelper,0
MSIAfterburnerSetup464.exe,MSIAfterburnerSetup464,0
RTSSSetup.exe,RTSSSetup,0
MSIAfterburner.exe,MSIAfterburner,0
hwmonitor_1.46.tmp,hwmonitor_1,0
Installer.exe,Installer,0
Tiger.exe,Tiger,0
Tiger-Win64-Shipping.exe,bloodhunt,1
Code.exe,Code,0
Notion.exe,Notion,0
cod.exe,cod,0
powertoyssetup-0.64.0-x64.exe,powertoyssetup-0,0
PowerToys.Settings.exe,PowerToys,0
PhoneExperienceHost.exe,PhoneExperienceHost,0
PassTheProjectBTP.exe,PassTheProjectBTP,0
PieceByPiece.exe,PieceByPiece,0
iTunes.exe,iTunes,0
MoNotificationUx.exe,MoNotificationUx,0
Spitfire Audio.exe,Spitfire Audio,0
E_IUCLGE.EXE,E_IUCLGE,0
EPSDNAVI.EXE,EPSDNAVI,0
GeForce_Experience_Update_v3.26.0.154_Beta_EC3123.exe,GeForce_Experience_Update_v3,0
E_IARNLGE.EXE,E_IARNLGE,0
POWERPNT.EXE,POWERPNT,0
OUTLOOK.EXE,OUTLOOK,0
ChromeHistoryView.exe,ChromeHistoryView,0
gameinputsvc.exe,gameinputsvc,0
javaw.exe,javaw,0
powershell.exe,powershell,0
win-kex,win-kex,0
imyfone-itransor-lite_setup.exe,imyfone-itransor-lite_setup,0
imyfone-download.tmp,imyfone-download,0
Fing.exe,Fing,0
iTransor Lite.exe,iTransor Lite,0
vlcplus-update-3.0.18-win64.exe,vlcplus-update-3,0
Updater.exe,Updater,0
imager_1.7.3.exe,imager_1,0
OneDrive.exe,OneDrive,0
vlc-3.0.18-win64.exe,vlc-3,0
Todoist-1.0.8.exe,Todoist-1,0
Todoist.exe,Todoist,0
escndv.exe,escndv,0
flstudio_win64_21.0.0.3329.exe,flstudio_win64_21,0
PowerToys.FancyZonesEditor.exe,PowerToys,0
Fences.exe,Fences,0
colorcpl.exe,colorcpl,0
FIN-MICRO_win_202.tmp,FIN-MICRO_win_202,0
_iu14D2N.tmp,_iu14D2N,0
Magnify.exe,Magnify,0
Focusrite Control - 3.11.0.1983.tmp,Focusrite Control - 3,0
FocusriteDriverInstaller.tmp,FocusriteDriverInstaller,0
Focusrite Control.exe,Focusrite Control,0
Focusrite Notifier.exe,Focusrite Notifier,0
maudioplugins_16_02_setup.exe,maudioplugins_16_02_setup,0
vcredist_x64.exe,vcredist_x64,0
winzip27-home.exe,winzip27-home,0
winzip64.exe,winzip64,0
FAH.exe,FAH,0
Voloco_plugin_setup.tmp,Voloco_plugin_setup,0
audacity.exe,audacity,0
Antares Central.exe,Antares Central,0
Pulse Web Setup 40.3.16.exe,Pulse Web Setup 40,0
Pulse.exe,Pulse,0
SdDisplay.exe,SdDisplay,0
stardock.fences.3.0.5.x64-patch.exe,stardock,0
Paradox Launcher.exe,Paradox Launcher,0
adwcleaner.exe,adwcleaner,0
GalaxyUpdater.exe,GalaxyUpdater,0
xampp-control.exe,xampp-control,0
installer.exe,installer,0
onboarding.exe,onboarding,0
WolfNewOrder_x64.exe,WolfNewOrder_x64,0
GalaxySetup.tmp,GalaxySetup,0
GalaxyInstaller.exe,GalaxyInstaller,0
CodeMeterCC.exe,CodeMeterCC,0
mitm_install_tool_dci.exe,mitm_install_tool_dci,0
GoogleUpdate.exe,GoogleUpdate,0
uninstall.exe,uninstall,0
MSI.TerminalServer.exe,MSI,0
CodeSetup-stable-92da9481c0904c6adfe372c12da3b7748d74bdcb.tmp,CodeSetup-stable-92da9481c0904c6adfe372c12da3b7748d74bdcb,0
Avira.Spotlight.UI.Application.exe,Avira,0
AVIRA.SPOTLIGHT.BOOTSTRAPPER.EXE,AVIRA,0
Extract Nimi Places (portable).exe,Extract Nimi Places (portable),0
Nimi Places.exe,Nimi Places,0
Cleanup.exe,Cleanup,0
openvpn-gui.exe,openvpn-gui,0
WG-MVPN-SSL.tmp,WG-MVPN-SSL,0
wgsslvpnc.exe,wgsslvpnc,0
SetupHost.exe,SetupHost,0
rufus-3.21.exe,rufus-3,0
